Company;Year;ISIN;restatement;SR;NFE;Date SRNFE;Date AR;ReportSize SRNFE;ReportSentence SRNFE;ReportWords SRNFE;GRI;Keywords;KeywordsClean;SentenceRestatement;ReportSize AR;ReportSentence AR;ReportWords AR
saf holland;2019;fehlt;1;1;0;27.03.2020;fehlt;77;2956;24993;1;bericht.*aktualisier;bericht aktualisier;schwerpunkte im berichtsjahr bildeten im speziellen die themen nachhal-tigkeit in der lieferkette, visualisierung von stoff- und energieströmen und die aktualisierung der wesentlichkeitsmatrix;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SAF HOLLAND2019_SR.pdf
saf holland;2019;fehlt;1;1;0;27.03.2020;fehlt;77;2956;24993;1;bericht.*aktualisier;bericht aktualisier;ableitung der wesentlichkeit  gri 102-42, 102-43, 102-46 im berichtsjahr wurde die wesentlichkeitsanalyse aus dem jahre 2017 va-lidiert und aktualisiert;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SAF HOLLAND2019_SR.pdf
saf holland;2019;fehlt;1;1;0;27.03.2020;fehlt;77;2956;24993;1;bericht.*aktualisier;bericht aktualisier;im berichtsjahr haben wir unseren seit dem jahre 2013 existierenden ver-haltenskodex umfassend überarbeitet und aktualisiert;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SAF HOLLAND2019_SR.pdf
saf holland;2019;fehlt;1;1;0;27.03.2020;fehlt;77;2956;24993;1;standard.*korrektur;standard korrektur;die umsetzung der globalen standards unterstützt uns dabei, verbesserungen und korrekturmaßnah-men auf integrierter, konzernweiter ebene anzustoßen;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SAF HOLLAND2019_SR.pdf
saf holland;2020;fehlt;1;1;0;23.03.2021;fehlt;66;3568;17409;1;angepasst.*zahl;angepasst zahl;definition angepasst 2 mitarbeiteranzahl inkl;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SAF HOLLAND2020_SR.pdf
saf holland;2020;fehlt;1;1;0;23.03.2021;fehlt;66;3568;17409;1;wert.*aktualisier;wert aktualisier;analyse und -bewertung regelmäßig zu aktualisieren beziehungsweise zu;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SAF HOLLAND2020_SR.pdf
saf holland;2020;fehlt;1;1;0;23.03.2021;fehlt;66;3568;17409;1;zahl.*anpass;zahl anpass;um die unfallzahlen weiter zu senken, planen wir anpassungen bei der persönlichen schutzausrüstung und;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SAF HOLLAND2020_SR.pdf
schaltbau holding;2019;fehlt;1;1;0;30.03.2020;fehlt;27;4900;8490;1;korrektur.*daten;korrektur daten;auch wurden die historischen werte aufgrund von korrekturen in der datengrundlage rückwirkend angepasst;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SCHALTBAU HOLDING2019_SR.pdf
schaltbau holding;2019;fehlt;1;1;0;30.03.2020;fehlt;27;4900;8490;1;bericht.*vorjahr;bericht vorjahr;die mitarbeiterfluktuation im berichtsjahr betrug 12,5% und lag damit in etwa auf vorjahresniveau;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SCHALTBAU HOLDING2019_SR.pdf
schaltbau holding;2019;fehlt;1;1;0;30.03.2020;fehlt;27;4900;8490;1;bericht.*vorjahr;bericht vorjahr;im berichtsjahr wie auch in den vorjahren gab es gegen die schaltbau-gruppe keine ermittlungsverfahren staat-;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SCHALTBAU HOLDING2019_SR.pdf
schaltbau holding;2020;fehlt;1;1;0;24.03.2021;fehlt;34;5685;10798;1;vorjahr.*wert;vorjahr wert;änderungen im konsolidierungskreis verursachen teils auch größere abweichungen zu vorjahreswerten;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SCHALTBAU HOLDING2020_SR.pdf
schaltbau holding;2020;fehlt;1;1;0;24.03.2021;fehlt;34;5685;10798;1;korrektur.*daten;korrektur daten;1 der wert von 2019 wurde aufgrund von korrekturen in der datengrundlage rückwirkend leicht angepasst;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SCHALTBAU HOLDING2020_SR.pdf
schaltbau holding;2020;fehlt;1;1;0;24.03.2021;fehlt;34;5685;10798;1;bericht.*vorjahr;bericht vorjahr;im berichtsjahr knüpfte schaltbau an die basisarbeit aus dem vorjahr hinsichtlich des themas klimamanagement;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SCHALTBAU HOLDING2020_SR.pdf
schaltbau holding;2020;fehlt;1;1;0;24.03.2021;fehlt;34;5685;10798;1;bericht.*vorjahr;bericht vorjahr;die mitarbeiterfluktuation im berichtsjahr betrug 10,4% und lag damit um rund 2% unter dem vorjahresniveau;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SCHALTBAU HOLDING2020_SR.pdf
schaltbau holding;2020;fehlt;1;1;0;24.03.2021;fehlt;34;5685;10798;1;vorjahr.*zahl;vorjahr zahl;bedingt im vergleich zum vorjahr leicht zurückgegangen ist, konnte die anzahl an arbeitsunfällen deutlich redu-;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SCHALTBAU HOLDING2020_SR.pdf
schaltbau holding;2020;fehlt;1;1;0;24.03.2021;fehlt;34;5685;10798;1;korrektur.*daten;korrektur daten;4 die unfallrate 2019 wurde aufgrund von korrekturen in der datengrundlage rückwirkend leicht angepasst;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SCHALTBAU HOLDING2020_SR.pdf
schaltbau holding;2020;fehlt;1;1;0;24.03.2021;fehlt;34;5685;10798;1;bericht.*aktualisier;bericht aktualisier;nien wurde im berichtsjahr nahezu die hälfte aktualisiert, nachdem bereits im vorjahr knapp ein viertel der;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SCHALTBAU HOLDING2020_SR.pdf
schaltbau holding;2020;fehlt;1;1;0;24.03.2021;fehlt;34;5685;10798;1;bericht.*vorjahr;bericht vorjahr;im berichtsjahr wie auch in den vorjahren gab es gegen die schaltbau-gruppe keine ermittlungsverfahren staat-;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SCHALTBAU HOLDING2020_SR.pdf
siemens energy;2020;DE0007236101;1;1;0;04.12.2020;fehlt;85;3440;30632;1;zahl.*vorjahr;zahl vorjahr;wir sind der ansicht, dass die anzahl der fälle gegenüber dem vorjahr mit 152 compliance-fällen, unter berücksichtigung der covid-19-pandemie, im bereich normaler schwankun-gen liegt;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SIEMENS ENERGY2020_SR.pdf
siemens energy;2020;DE0007236101;1;1;0;04.12.2020;fehlt;85;3440;30632;1;anpass.*vorjahr;anpass vorjahr;im geschäftsjahr 2021 werden wir unseren due-dili-gence-prozess für geschäftspartner weiter anpassen, im vorjahr angestoßene compliance-tools implemen-tieren und die digitalisierung weiter vorantreiben;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SIEMENS ENERGY2020_SR.pdf
siemens energy;2020;DE0007236101;1;1;0;04.12.2020;fehlt;85;3440;30632;1;wert.*vorjahr;wert vorjahr;die durchschnittliche arbeitswo-che 2 bei gas and power umfasste 39 stunden weltweit, was dem wert des vorjahres entspricht;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SIEMENS ENERGY2020_SR.pdf
siemens energy;2020;DE0007236101;1;1;0;04.12.2020;fehlt;85;3440;30632;1;zahl.*angepasst;zahl angepasst;um eine vergleichbarkeit zu gewährleisten, werden die kennzahlen des vorjahres entsprechend angepasst;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SIEMENS ENERGY2020_SR.pdf
siemens energy;2020;DE0007236101;1;1;0;04.12.2020;fehlt;85;3440;30632;1;daten.*angepasst;daten angepasst;um eine konsistente berichterstattung der nichtfinanziellen daten des konzerns zu gewährleisten, werden die ein-gabedaten abgeglichen und angepasst, um den be-richtsanforderungen des konzerns zu entsprechen;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SIEMENS ENERGY2020_SR.pdf
siemens energy;2020;DE0007236101;1;1;0;04.12.2020;fehlt;85;3440;30632;1;bericht.*angepasst;bericht angepasst;frühere berichtszeiträume werden nicht angepasst;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SIEMENS ENERGY2020_SR.pdf
siemens energy;2020;DE0007236101;1;1;0;04.12.2020;fehlt;85;3440;30632;1;daten.*aktualisier;daten aktualisier;die vergleichsbasis wird jährlich geprüft und wenn nötig modifiziert, bei-spielsweise, wenn statistische daten zur installierten basis aufgrund technischer innovationen oder regula-torischer änderungen aktualisiert werden müssen;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SIEMENS ENERGY2020_SR.pdf
siemens energy;2020;DE0007236101;1;1;0;04.12.2020;fehlt;85;3440;30632;1;aktualisier.*vorjahr;aktualisier vorjahr;quelle: iea world energy outlook 2019 1, eigene berechnungen1  emissionsfaktoren wurden für den iea world energy outlook 2019 aktualisiert (vorjahr: iea world energy outlook 2018);fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\SIEMENS ENERGY2020_SR.pdf
sts group;2019;fehlt;0;0;1;08.04.2020;fehlt;17;350;4548;0;fehlt;fehlt;fehlt;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\STS GROUP2019_NFB.pdf
sts group;2020;fehlt;0;0;1;06.04.2021;fehlt;17;350;4441;0;fehlt;fehlt;fehlt;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\STS GROUP2020_NFB.pdf
teamviewer;2020;fehlt;1;0;1;27.04.2021;fehlt;28;1034;9963;1;daten.*vorjahr;daten vorjahr;sofern zur vergleichbarkeit und ver-ständlichkeit sinnvoll, enthalten einige abschnitte auch daten aus dem vorjahr, um den lesern änderungen im zeit-verlauf aufzeigen zu können;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\TEAMVIEWER2020_NFB.pdf
tele columbus;2019;DE000A1J5RX9;1;1;0;23.04.2020;fehlt;27;1121;5427;1;daten.*angepasst;daten angepasst;mit der neufassung wird die richtlinie an die prak-tischen themen der umsetzung der datenschutzanforderun-gen angepasst;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\TELE COLUMBUS2019_SR.pdf
tele columbus;2020;DE000A1J5RX9;1;1;0;04.06.2021;fehlt;31;1408;11070;1;vorjahr.*bericht;vorjahr bericht;die ergebnisse aus der vorjahres-analyse wurden im berichtsjahr intern validiert und unter ein-beziehung des vorstands bestätigt;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\TELE COLUMBUS2020_SR.pdf
tele columbus;2020;DE000A1J5RX9;1;1;0;04.06.2021;fehlt;31;1408;11070;1;vorjahr.*wert;vorjahr wert;in einer zusam-menfassenden betrachtung, die einen unmittelbaren vergleich mit dem vorjahreswert erlaubt, wurden 23;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\TELE COLUMBUS2020_SR.pdf
tele columbus;2020;DE000A1J5RX9;1;1;0;04.06.2021;fehlt;31;1408;11070;1;daten.*vorjahr;daten vorjahr;unsere aufzeich-nungen zeigen hingegen einen zuwachs beim transferierten datenvolumen in einer größenordnung von 40 prozent gegen-über dem vorjahr;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\TELE COLUMBUS2020_SR.pdf
tele columbus;2020;DE000A1J5RX9;1;1;0;04.06.2021;fehlt;31;1408;11070;1;vorjahr.*wert;vorjahr wert;4) abweichung zum vorjahr durch neubewertung von großen technikstandor-ten im hlkomm-netz;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\TELE COLUMBUS2020_SR.pdf
varta ag;2019;fehlt;0;1;0;13.05.2020;13.05.2020;23;259;2415;0;fehlt;fehlt;fehlt;23;251;2415;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\VARTA AG2019_SR.pdf
voltabox ag;2019;fehlt;0;0;1;25.02.2020;fehlt;19;5659;5685;0;fehlt;fehlt;fehlt;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert\VOLTABOX AG2019_NFB.pdf
